,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2013-10-22,12.000000,12.000000,12.000000,12.000000,11.236226,300000,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-10-23,12.000000,12.000000,12.000000,12.000000,11.236226,0,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-10-24,12.000000,12.000000,12.000000,12.000000,11.236226,0,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-10-25,11.750000,11.750000,11.750000,11.750000,11.002138,514200,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-10-28,11.750000,11.750000,11.750000,11.750000,11.002138,0,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-10-29,11.850000,11.850000,11.850000,11.850000,11.095773,300000,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-10-30,11.850000,11.850000,11.850000,11.850000,11.095773,0,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-10-31,11.850000,11.850000,11.850000,11.850000,11.095773,0,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-11-01,11.850000,11.850000,11.850000,11.850000,11.095773,0,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
2013-11-04,11.850000,11.850000,11.850000,11.850000,11.095773,0,0.000000,1.000000,ESI,Common Stock,Element Solutions Inc,"Element Solutions Inc produces and sells specialty chemicals in the United States, China, and internationally. The company is headquartered in Fort Lauderdale, Florida.",1590714,NYSE,USD,USA,LIFE SCIENCES,MISCELLANEOUS CHEMICAL PRODUCTS,"500 EAST BROWARD BOULEVARD, SUITE 1860, FORT LAUDERDALE, FL, US",https://elementsolutionsinc.com,December,2025-03-31,5820096000,505800000,20.51,0,10.39,0.32,0.0141,1.17,10.22,0.116,0.13,0.0452,0.117,2475600000,1041200000,1.17,0.739,0.033,26.6,3,7,1,0,0,20.51,17.09,2.351,2.31,2.805,12.74,1.234,29.5,16.71,21.67,24.61,242504000,227248000,7.349,99.168,2025-06-16,2025-06-02
